ISO3,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
BIH,45.23886772499821,45.3174170232792,44.095504578832795,44.491868309302795,45.0285375813119,44.8729623387024,45.735516765116394,45.8951750186444,45.8558921254741,46.750194201392,46.658290538492096,47.0053645685516,46.98191403462461,47.4202594527676,47.4792514675206,47.9489505959775,47.9305828643995,48.188614618497496,48.317613842691,49.501307478105,49.0738109656153,49.234034318338296,49.300878775326794
BWA,43.8877344618935,44.0527333230741,44.3627015946852,44.6913420421764,44.957565577880004,45.156250956704795,45.1336935270998,45.2300488909646,46.048545514139605,45.621195833583,45.9112787699888,45.776993152963,45.6595436912267,45.56087254494761,46.367570286219994,46.7034486472482,46.7472219399215,47.07576325541229,47.405195701699895,47.7159905730482,47.72256200144529,47.998149784209396,47.81977511783629
BRA,46.950412970208596,46.9865874946659,47.164072787453605,47.3259460890246,47.6487372599739,48.024417186222294,48.22277016049829,48.595445684997905,48.6069456006576,48.3536815659545,48.4482995548752,48.833491345681104,49.80758093001571,50.109018989298896,50.8542180846165,51.205062345735705,50.7388222308037,50.5447970445358,50.3694140154942,50.9322399442188,50.6254719967069,50.526575546468,50.3521610812784
BRN,51.1156437569975,51.2211555918028,50.9052357473823,50.5906686213052,50.849325975046796,51.066045550822494,51.5111839575429,51.756273270775395,52.135315521439196,52.7853354817849,52.427326643910796,52.1744529900942,52.76160767957371,52.752602104530105,53.90768530426121,53.894859466412,53.961930010814,54.543240918220995,54.533628295281105,54.58746648585589,54.277184406100396,55.176323694350394,55.6094393675783
BGR,51.4039685237253,51.8697200948216,53.041402854841095,53.0548936132551,52.98086173012871,52.625963998359396,52.8590715544508,53.5655185424805,53.9981908151706,54.247514813311206,54.519337672849396,55.1264204486238,55.1847688225099,54.98936814636679,55.6100320269028,55.9455675244558,56.4230557845085,56.470398830607,56.4143613702936,56.6422804540611,56.633262180096295,56.5979913465743,56.8204477464059
BFA,30.927257571002496,30.9803600279265,31.2183563394341,31.4703939021993,31.7818370217049,31.749383268052398,31.8703198612642,31.911773644706503,31.938601792519,31.591425348080698,31.690410178091103,31.7845615101464,32.694065804719,33.2849867064041,34.4578646205299,34.3519422298156,34.4442722578208,34.4278708056448,34.408890819541,34.66170445336439,34.9964323084519,35.1280353465022,35.1588377860746
BDI,29.1648569706998,28.6927404925107,28.685660671515002,28.669898043977604,29.007952369908,29.558035363107,29.802249368955604,29.9565911964185,29.9119665097361,29.429826018158103,30.412406812432,31.4394541612435,31.3476227255957,31.2803970057868,31.159059257661,30.5251008928143,30.2424580017103,31.5720801719213,32.375675204017895,33.6841357345085,32.7665745670573,32.3282801376991,32.3433339297722
KHM,34.797234359700695,34.316782086542204,34.389859739162695,34.964951874552604,35.5724344168733,36.173532739378,36.2147857026745,36.478327062146604,36.427909227420294,36.386449749528296,36.4808042673357,36.1349846904806,36.2356307831044,37.0598577736562,38.096643839873295,38.4492283144985,38.9302404928836,39.4537130418299,39.4186942180686,39.403099957132895,39.1576374067733,39.3324382153261,39.281390654005705
CMR,36.2190003600154,36.389423499897596,36.9288884947401,37.4405392503429,37.5365187797881,37.42417103361979,37.33064097159029,37.200451260822,37.912957663872106,37.9162128106322,37.760600794906104,38.0822680779256,37.9147049659753,37.837043652923995,37.794668744147,37.448879047610895,37.8907965380951,38.3010239999824,38.8417490512329,38.7947487302285,39.21476449140471,39.2295025910043,39.1454733347742
CAN,67.8160895270853,67.8907287244499,67.9981825845346,67.8444350421228,68.1970156777783,68.4956014872668,68.5629477363436,68.5673894355502,68.49950434694321,69.16204284104529,69.295420493675,69.9925674442897,69.7501802407928,69.7214337983079,69.7722978484326,69.2162529507839,69.61535947940139,69.36319747096,69.2873685901128,69.2865524228482,68.9615391420378,68.93597867355479,68.8313181618145
CAF,30.8368901471897,30.6493300713583,31.4089779203828,31.125357935432202,30.308185025697103,30.312200612127103,30.354087928067496,30.1150698793244,29.641814005432803,29.4817693784327,28.538422241925,28.2109041629218,27.9005728690906,28.240639981117397,28.057234853548604,28.328002338805398,28.124686275694,28.790848834049896,27.841203513361897,27.2721203379197,27.4797729299815,27.465857686223103,27.5068513517486
TCD,25.9949773955945,26.185044325998202,26.7679386426444,26.4820898629421,26.705786477983104,26.8361646211974,26.6083993678938,27.011619143157603,26.0979909509428,26.455037165855103,26.024774610798396,25.723908847809895,25.553602406577102,25.257761360453,25.487160309145697,25.6502003437259,25.2382138066988,26.2045940458338,26.4731929565455,25.8551088595367,26.171181255509897,25.617109048456502,25.6988780011269
CHL,57.1355813724801,57.277460692494,57.1067726438265,56.969247177768494,57.516836339728,58.1294834852306,58.6653394122964,59.3388046960524,59.0248158376342,59.05220889770371,59.80609112524421,59.6512993280435,60.041885277897904,60.235938415819504,60.0122538971924,60.2085971575587,60.9519086302635,61.944681308661096,61.9560221514106,62.17528195157661,61.933670679525605,61.543598344851105,61.2865307966714
CHN,45.274906022973205,45.5125527084051,45.5608713192898,45.5843069135986,45.707978942948294,46.0005232177077,45.9897122906555,46.086743069429595,45.9030079827966,46.290898788930704,46.68663062098761,47.359103906936205,48.7693039502743,49.89946864835171,50.866096689677,51.810258482786296,52.069031624102706,51.9302828563747,52.3029646296037,52.6488416030143,53.3381412358756,53.54461547263679,53.9523541756586
COL,43.120726631806406,43.2824919472528,43.5148497076472,43.772509155681604,43.95411863543921,44.011727500226094,44.2866090883057,44.544694191027006,44.534211845090105,44.9260912909149,45.80511121124229,46.1068449789695,46.4363606947292,46.7290063911052,47.0628945092083,48.052302421617604,48.998833424397105,48.931064188174105,49.11811530993871,49.7589493381714,50.507984880642205,50.63284345934711,50.661376889514294
COM,37.313914299838096,37.415966188705,37.2222677545216,37.1611122729115,36.9746274382411,37.0294838375448,37.6568027648157,37.9161413240826,36.99760491030921,37.2407191178565,37.48613085846179,38.354085878406,37.8658253430254,37.7558509929694,37.5167136695726,37.6212094900051,37.6994157150407,38.171577031918105,38.295014313188794,39.1090770678565,39.0319989168448,39.289887188514,39.2314184242626
